case_id,modality,body_width_lr_mm,body_depth_ap_mm,body_height_si_mm,touch_x_lo,touch_x_hi,touch_y_lo,touch_y_hi,touch_z_lo,touch_z_hi,touches_count,fov_category,valid
amos_0530,MRI,381.7118565431455,337.24943956832794,194.10991758355522,False,False,False,False,False,False,0,FOV-C,True
amos_0522,MRI,434.5,327.25,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0507,MRI,375.25,326.5625,170.0,False,False,False,False,False,False,0,FOV-C,True
amos_0508,MRI,366.5794781598961,134.5144655862823,452.14968974143267,False,False,False,False,False,False,0,FOV-A,True
amos_0514,MRI,360.5428016835358,166.80930883437395,444.7633288029993,False,False,False,False,False,False,0,FOV-A,True
amos_0510,MRI,361.81758464314044,166.2080461718142,450.0375230945647,False,False,False,False,False,False,0,FOV-A,True
amos_0540,MRI,374.8183107501827,297.36636957999144,206.3903248198779,False,False,False,False,False,False,0,FOV-B,True
amos_0538,MRI,422.1994400063894,326.81494841946005,198.77102335147356,False,False,False,False,False,False,0,FOV-C,True
amos_0532,MRI,416.88651956925787,313.6873487028347,209.6035018404291,False,False,False,False,False,False,0,FOV-B,True
amos_0541,MRI,377.6693272183461,319.44278592738374,208.67418037360767,False,False,False,False,False,False,0,FOV-B,True
amos_0518,MRI,354.0434793422464,236.67675518803298,397.895304185804,False,False,False,False,False,False,0,FOV-A,True
amos_0548,MRI,375.25,289.75,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0555,MRI,394.444429397583,313.888876914978,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0517,MRI,396.6691344338469,320.0903301301878,224.48547832714394,False,False,False,False,False,False,0,FOV-B,True
amos_0570,MRI,375.25,295.6875,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0571,MRI,395.0,300.0,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0580,MRI,375.9529339633882,170.3004159629345,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0582,MRI,375.4274582453072,168.62549111805856,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0584,MRI,394.444429397583,316.666654586792,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0583,MRI,375.81032241135836,169.65757750580087,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0551,MRI,397.222207069397,307.6388771533966,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0585,MRI,375.25,304.0,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0587,MRI,375.25,304.0,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0586,MRI,360.5027694683522,210.99929667823017,444.3907837867737,False,False,False,False,False,False,0,FOV-A,True
amos_0589,MRI,375.53136494081514,168.92536082467996,375.3070938781393,False,False,False,False,False,False,0,FOV-A,True
amos_0591,MRI,375.25,282.625,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0593,MRI,397.222207069397,310.41665482521057,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0557,MRI,415.07179141044617,162.79977416992188,368.3146923780441,False,False,False,False,False,False,0,FOV-A,True
amos_0595,MRI,375.25,274.3125,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0554,MRI,416.71239137649536,180.4010009765625,354.369592666626,False,False,False,False,False,False,0,FOV-A,True
amos_0558,MRI,416.71239137649536,180.39974975585938,387.18159198760986,False,False,False,False,False,False,0,FOV-A,True
amos_0597,MRI,376.38175074383616,173.0711808204651,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0599,MRI,375.25,304.0,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0578,MRI,416.71239137649536,180.39974975585938,374.0567922592163,False,False,False,False,False,False,0,FOV-A,True
amos_0545,MRI,360.43470418965444,211.21143093472347,444.3907837867737,False,False,False,False,False,False,0,FOV-A,True
amos_0547,MRI,375.25,287.375,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0544,MRI,397.222207069397,286.1111001968384,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0549,MRI,375.24999999996436,168.0000000004535,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0546,MRI,397.222207069397,322.2222099304199,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0552,MRI,375.25,302.8125,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0588,MRI,416.71239137649536,180.39974975585938,406.8687915802002,False,False,False,False,False,False,0,FOV-A,True
amos_0556,MRI,394.444429397583,308.3333215713501,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0590,MRI,415.07179141044617,180.4010009765625,406.0484915971756,False,False,False,False,False,False,0,FOV-A,True
amos_0592,MRI,416.71239137649536,180.39974975585938,387.18159198760986,False,False,False,False,False,False,0,FOV-A,True
amos_0553,MRI,360.61796358041465,211.24088435294107,444.3907837867737,False,False,False,False,False,False,0,FOV-A,True
amos_0550,MRI,391.66665172576904,283.3333225250244,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0562,MRI,378.10560235381126,175.80687203258276,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0559,MRI,332.78786408901215,173.63088650256395,375.25,False,False,False,False,False,False,0,FOV-A,True
amos_0573,MRI,368.125,254.125,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0561,MRI,356.9444308280945,272.91665625572205,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0576,MRI,375.25,299.25,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0575,MRI,360.4922999981791,211.0592549405992,444.3907837867737,False,False,False,False,False,False,0,FOV-A,True
amos_0563,MRI,397.222207069397,302.0833218097687,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0568,MRI,397.222207069397,296.52776646614075,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0598,MRI,360.5184799111448,211.15252409828827,444.3907837867737,False,False,False,False,False,False,0,FOV-A,True
amos_0594,MRI,416.71239137649536,180.39974975585938,400.3063917160034,False,False,False,False,False,False,0,FOV-A,True
amos_0572,MRI,397.222207069397,287.49998903274536,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0581,MRI,397.222207069397,306.2499883174896,204.0,False,False,False,False,False,False,0,FOV-B,True
amos_0596,MRI,415.07179141044617,180.4010009765625,352.7289927005768,False,False,False,False,False,False,0,FOV-A,True
